"Entreprise";"Titre";"Années XP";"Brut/CA (k€)";"Contrat";"Package (k€)";"Détails package";"Remarques libres"
"Non renseigné";"Senior developer";;"200";"Freelance";"200";;
"IBM";"Senior Software Engineer";"16";"80";"CDI";"80";"Actions à 85% du prix public avec 10% du salaire mensuel, au 4/5ème";
"Ornikar";"Senior backend developer ";"10";"62";"CDI";"62";;
"Prisma Media ";"Lead Developer ";"12";"68";"CDI";"68";"Convention cadre de la presse magazine. 9 semaines de congés. CE. Mutuelle. Tickets resto. Cantine. Télétravail.";
"Beta Gouv";"Développeur Backend Python";"20";"130";"Freelance";"130";;"Au 4/5ème"
"Lunex ";"Full stack dev ";"7";"94";"CDI";"120";"Bonus, stocks";
"Treezor";"Lead Dev Go";"15";"73";"CDI";"75";"Prime de resultat de 3k€";
"Non renseigné";"Senior Dev Go";"17";"100";"CDI";"300";"BSPCE, meilleur package wemind ";
"Lifen";"Senior front-end engineer";"12";"65";"CDI";"65";"12k BSPCE";
"Meritis";"Architecte logiciel";"11";"65";"CDI";"65";"Salaire fixe uniquement";
"Contentsquare ";"Customer Success on a Product for Dev";"15";"60";"CDI";"75";"60k€ + bonus on objective + BSPCE à deux ans + divers indemnités et soutiens pour un montant de 3k€/an";
"Emplifi.io";"Team Lead - Dev";"8";"68";"CDI";"68";"RAS mais avantages parentaux en cours de négo, vacances 5+2 RTT semaines";"Poste que j'ai gardé à mon retour d'expatriation de Montréal (4 ans là bas dont 2 ans dans cette entreprise). Pas trouvé mieux en Normandie niveau salaire/conditions de travail donc j'y reste, la flemme de chercher mieux sur Paris pour l'instant"
"DeepReach";"Senior Software Developpr";"12";"80";"CDI";"95";"BSPCE 15k€";
"Microsoft";"Principal Software Engineer";"20";"120";"CDI";"200";"40k€ Bonus Cash et 40k€ Bonus RSU";
"api.video ";"Infra";"9";"120";"CDI";"180";"BSCPE";
"KissKissBankBank ";"Lead dev back (Ruby)";"10";"78";"CDI";"78";"5k€ notes de frais, RTT, tickets resto";
"Ledger";"Principal Software Engineer";"22";"95";"CDI";"140";"BSPCE 35k€, variable 10k€";
"Getaround ";"Senior Full-Stack Engineer ";"6";"65";"CDI";"65";"5000 RSU (valeur pas claire)";
"Swile";"iOS senior developer";"14";"61";"CDI";"61";;
"Non renseigné";"Architect";"20";"130";"CDI";"160";"Options + Bonus";
"Scale-up UK";"Software Engineer";"2,5";"72";"CDI";"84";"10% bonus, 23k€/4ans stocks";
"Ankorstore ";"Senior Quality Engineer ";"15";"65";"CDI";"91";"26k€ euros en BSPCE ";"Tu parles d'exp en dev mais je ne suis plus dev depuis 6 ans, par contre je l'étais avant "
"Maze";"Eng manager";"20";"120";"Portage salarial";"300";"Equivalent BSPCE + ben + mutuelle";
"Datadog";"Engineering team lead";"7";"88";"CDI";"200";"Salaire + ~150k $ / ans en RSU ";
"PrestaShop";"Développeur Core (projet open source)";"12";"57";"CDI";"57";;
"Intérim digital";"Lead SRE";"10";"134";"CDI";"177";"100k€ de BSPCE sur 3 ans";" "
"Grande entreprise e-commerce France";"Développeur";"8";"55";"CDI";"61";"10% de variable atteint chaque année car équipe de qualité et les objectifs sont en grande majorité des OKR d'équipe ";
"Doctolib";"Staff Engineer";"4";"70";"CDI";"127,5";"70k€ + 230k€ BSPCE sur 4 ans (une fois l’intégralité vestée une fois leur coût d’excercice payé)";
"Neo4j";"Developer";"13";"125";"CDI";"125";;
"Squadracer";"Ingénieur Développement";"24";"55";"CDI";"55";;
